iso_code;year;population
STP;1960;68061
STP;1970;77601
STP;1980;97225
STP;1990;120355
STP;2000;143729
STP;2010;182154
STP;2020;218650
SAU;1950;3089697
SAU;1960;4165566
SAU;1970;6106192
SAU;1980;10171712
SAU;1990;16004768
SAU;2000;21547398
SAU;2010;29411930
SAU;2020;35997108
SEN;1950;2496070
SEN;1960;3273181
SEN;1970;4367747
SEN;1980;5703873
SEN;1990;7536003
SEN;2000;9704291
SEN;2010;12530128
SEN;2020;16436120
SRB;1950;6017687
SRB;1960;6579987
SRB;1970;7193540
SRB;1980;7777013
SRB;1990;7987530
SRB;2000;7935023
SRB;2010;7653749
SRB;2020;7358010
SYC;1950;38129
SYC;1960;43186
SYC;1970;54401
SYC;1980;65310
SYC;1990;71073
SYC;2000;80073
SYC;2010;92424
SYC;2020;105545
SLE;1950;2000793
SLE;1960;2301315
SLE;1970;2778561
SLE;1980;3367486
SLE;1990;4325390
SLE;2000;4584074
SLE;2010;6436699
SLE;2020;8233973
SXM;1950;1480
SXM;1960;2668
SXM;1970;6276
SXM;1980;12270
SXM;1990;27864
SXM;2000;30513
SXM;2010;33056
SXM;2020;43638
SVK;1950;3465627
SVK;1960;4124235
SVK;1970;4522872
SVK;1980;4973886
SVK;1990;5261310
SVK;2000;5376700
SVK;2010;5396428
SVK;2020;5456681
SVN;1950;1445042
SVN;1960;1599581
SVN;1970;1741287
SVN;1980;1901574
SVN;1990;1986030
SVN;2000;1984339
SVN;2010;2057294
SVN;2020;2117648
SLB;1950;1445042
SLB;1960;1599581
SLB;1970;1741287
SLB;1980;1901574
SLB;1990;1986030
SLB;2000;1984339
SLB;2010;2057294
SLB;2020;2117648
SOM;1950;2213058
SOM;1960;2870732
SOM;1970;3720982
SOM;1980;5892226
SOM;1990;6999098
SOM;2000;8721465
SOM;2010;12026650
SOM;2020;16537018
ZAF;1950;13043843
ZAF;1960;16520438
ZAF;1970;22368306
ZAF;1980;29463546
ZAF;1990;39877570
ZAF;2000;46813270
ZAF;2010;51784930
ZAF;2020;58801930
KOR;1950;20104016
KOR;1960;25817530
KOR;1970;32601146
KOR;1980;38170500
KOR;1990;44120040
KOR;2000;46788588
KOR;2010;48813036
KOR;2020;51844690
SSD;1950;2492083
SSD;1960;2907727
SSD;1970;3342414
SSD;1980;4192017
SSD;1990;4750824
SSD;2000;6114443
SSD;2010;9714425
SSD;2020;10606224
ESP;1950;28069696
ESP;1960;30415594
ESP;1970;33792624
ESP;1980;37491664
ESP;1990;38889890
ESP;2000;40741652
ESP;2010;46572776
ESP;2020;47363810
LKA;1950;7945979
LKA;1960;9783874
LKA;1970;12388767
LKA;1980;14943644
LKA;1990;17204098
LKA;2000;18776374
LKA;2010;20668556
LKA;2020;21715076
SDN;1950;6191328
SDN;1960;8326464
SDN;1970;11305212
SDN;1980;16673591
SDN;1990;21090892
SDN;2000;26298778
SDN;2010;33739932
SDN;2020;44440484
SUR;1950;195769
SUR;1960;268404
SUR;1970;379928
SUR;1980;375123
SUR;1990;412767
SUR;2000;479011
SUR;2010;546085
SUR;2020;607068
SWE;1950;7014611
SWE;1960;7492907
SWE;1970;8027701
SWE;1980;8311761
SWE;1990;8548407
SWE;2000;8871042
SWE;2010;9381722
SWE;2020;10368968
CHE;1950;4692636
CHE;1960;5328275
CHE;1970;6181231
CHE;1980;6319116
CHE;1990;6711685
CHE;2000;7182052
CHE;2010;7822444
CHE;2020;8638609
SYR;1950;3543542
SYR;1960;4610717
SYR;1970;6319206
SYR;1980;8898957
SYR;1990;12409003
SYR;2000;16307659
SYR;2010;22337558
SYR;2020;20772602
TWN;1950;7623139
TWN;1960;10983152
TWN;1970;14957875
TWN;1980;18100280
TWN;1990;20586176
TWN;2000;22194740
TWN;2010;23083086
TWN;2020;23821468
TJK;1950;1526142
TJK;1960;2132000
TJK;1970;2993019
TJK;1980;4045966
TJK;1990;5417862
TJK;2000;6273001
TJK;2010;7621785
TJK;2020;9543211
TZA;1950;7632405
TZA;1960;10042467
TZA;1970;13618190
TZA;1980;19297660
TZA;1990;26206024
TZA;2000;34463704
TZA;2010;45110532
TZA;2020;61704520
THA;1950;20411638
THA;1960;26596590
THA;1970;35791730
THA;1980;45737756
THA;1990;55228410
THA;2000;63066604
THA;2010;68270490
THA;2020;71475660
TLS;1950;414793
TLS;1960;468582
TLS;1970;554030
TLS;1980;642230
TLS;1990;758120
TLS;2000;878367
TLS;2010;1088492
TLS;2020;1299998
TGO;1950;1398532
TGO;1960;1651372
TGO;1970;2197384
TGO;1980;2838115
TGO;1990;3875958
TGO;2000;5008043
TGO;2010;6571862
TGO;2020;8442583
TKL;1950;1618
TKL;1960;1814
TKL;1970;1733
TKL;1980;1666
TKL;1990;1692
TKL;2000;1689
TKL;2010;1389
TKL;2020;1845
TON;1950;49849
TON;1960;67447
TON;1970;86493
TON;1980;96725
TON;1990;98744
TON;2000;102620
TON;2010;107401
TON;2020;105265
TTO;1950;648619
TTO;1960;847067
TTO;1970;988902
TTO;1980;1127853
TTO;1990;1266525
TTO;2000;1332203
TTO;2010;1410297
TTO;2020;1518142
TUN;1950;3606294
TUN;1960;4195466
TUN;1970;5047403
TUN;1980;6578159
TUN;1990;8440035
TUN;2000;9893326
TUN;2010;10895063
TUN;2020;12161720
TUR;1950;20977698
TUR;1960;27510982
TUR;1970;35540988
TUR;1980;44089068
TUR;1990;54324140
TUR;2000;64113548
TUR;2010;73195350
TUR;2020;84135430
TKM;1950;1214109
TKM;1960;1602052
TKM;1970;2201432
TKM;1980;2862908
TKM;1990;3720287
TKM;2000;4569135
TKM;2010;5267975
TKM;2020;6250442
TCA;1950;5057
TCA;1960;5626
TCA;1970;5690
TCA;1980;7620
TCA;1990;11723
TCA;2000;18769
TCA;2010;29751
TCA;2020;44297
TUV;1950;4756
TUV;1960;5426
TUV;1970;5837
TUV;1980;7755
TUV;1990;9201
TUV;2000;9662
TUV;2010;10570
TUV;2020;11090
UGA;1950;5750643
UGA;1960;7617751
UGA;1970;10317218
UGA;1980;13284030
UGA;1990;17586634
UGA;2000;24020710
UGA;2010;32341724
UGA;2020;44404610
UKR;1950;37303000
UKR;1960;42767252
UKR;1970;47279090
UKR;1980;49973920
UKR;1990;51589816
UKR;2000;48879750
UKR;2010;45683024
UKR;2020;43909664
ARE;1950;74613
ARE;1960;133440
ARE;1970;298096
ARE;1980;1014058
ARE;1990;1900160
ARE;2000;3275338
ARE;2010;8481775
ARE;2020;9287286
GBR;1950;50055068
GBR;1960;52543024
GBR;1970;55650160
GBR;1980;56326330
GBR;1990;57210444
GBR;2000;58850044
GBR;2010;62760050
GBR;2020;67059470
USA;1950;148281550
USA;1960;176188580
USA;1970;200328340
USA;1980;223140020
USA;1990;248083730
USA;2000;282398560
USA;2010;311182850
USA;2020;335942000
VIR;1950;27100
VIR;1960;32883
VIR;1970;63464
VIR;1980;96654
VIR;1990;100699
VIR;2000;108199
VIR;2010;106154
VIR;2020;100452
URY;1950;2234152
URY;1960;2529028
URY;1970;2790270
URY;1980;2953754
URY;1990;3117011
URY;2000;3292227
URY;2010;3352653
URY;2020;3429087
UZB;1950;6247555
UZB;1960;8372314
UZB;1970;12011369
UZB;1980;15947135
UZB;1990;20579106
UZB;2000;24925558
UZB;2010;28614234
UZB;2020;33526662
VUT;1950;51587
VUT;1960;64624
VUT;1970;87038
VUT;1980;118173
VUT;1990;150900
VUT;2000;192087
VUT;2010;245464
VUT;2020;311694
VEN;1950;5488619
VEN;1960;8156941
VEN;1970;11355474
VEN;1980;15210441
VEN;1990;19750580
VEN;2000;24427732
VEN;2010;28715026
VEN;2020;28490458
VNM;1950;25109200
VNM;1960;32718462
VNM;1970;41928850
VNM;1980;52968270
VNM;1990;66912616
VNM;2000;79001144
VNM;2010;87411016
VNM;2020;96648680
WLF;1950;8556
WLF;1960;8799
WLF;1970;9401
WLF;1980;11341
WLF;1990;13479
WLF;2000;14748
WLF;2010;13167
WLF;2020;11679
YEM;1950;4712813
YEM;1960;5542460
YEM;1970;6843613
YEM;1980;9204941
YEM;1990;13375127
YEM;2000;18628704
YEM;2010;24743944
YEM;2020;32284044
ZMB;1950;2318453
ZMB;1960;3119431
ZMB;1970;4281679
ZMB;1980;5720442
ZMB;1990;7686405
ZMB;2000;9891140
ZMB;2010;13792095
ZMB;2020;18927716
ZWE;1950;2791336
ZWE;1960;3806312
ZWE;1970;5202923
ZWE;1980;7049931
ZWE;1990;10113899
ZWE;2000;11834679
ZWE;2010;12839774
ZWE;2020;15669663
